lm_halo,n_sats_halo
10.495181,1
12.810518,57
11.661397,10
10.741457,0
10.101617,0
11.524663,3
10.943311,0
12.019338,10
12.121354,12
12.286409,14
11.718863,6
11.323656,1
10.922373,0
10.134503,0
10.35616,0
10.274167,1
10.235165,1
10.149739,0
11.034358,2
10.277669,1
10.043933,0
10.229836,0
9.963073,0
10.529575,1
10.377892,1
10.069241,0
11.294171,4
12.442692,23
9.946417,0
9.967449,0
9.956342,1
10.965397,2
10.19344,1
10.507211,0
12.404315,23
10.0813675,0
11.033847,1
11.187779,3
9.909406,0
10.813034,0
12.924996,70
12.804805,59
10.43247,0
10.340042,0
11.107957,2
12.715596,43
10.411335,1
10.030878,1
10.743449,0
10.974123,0
12.554986,34
10.9439125,1
10.787989,1
11.446628,2
9.978226,1
10.613349,1
10.387577,0
13.021623,100
10.106402,0
10.7341385,0
10.628691,1
10.136932,0
11.442129,6
10.747131,1
10.420136,0
10.408608,0
10.143054,0
10.106502,0
10.371402,2
10.718242,1
10.021068,0
9.988958,0
10.008819,1
10.667551,1
11.888149,6
10.140742,1
9.901717,0
10.1016,1
10.182138,0
10.340372,0
10.881644,0
10.330884,1
10.234425,0
10.709489,1
10.093831,0
10.526819,2
10.20161,1
11.631685,4
10.103041,0
10.649432,1
10.135665,0
12.434184,29
10.18186,0
13.000877,107
13.000877,107
10.278389,1
10.642751,1
11.983069,11
10.458186,0
11.418974,3
10.050036,0
12.591272,38
10.9706955,2
10.510744,0
10.48511,0
10.712066,0
11.308275,3
10.59863,0
9.937403,0
10.315751,0
11.006128,2
12.04917,12
10.158069,0
10.272046,0
10.585552,0
11.57573,1
10.329457,0
11.362783,3
11.212531,3
10.0542965,1
10.539427,1
10.647037,1
11.129305,2
10.04757,0
10.687612,2
11.477256,7
12.758786,57
12.771907,63
10.998825,0
11.199191,4
12.16678,15
10.178143,0
10.042569,0
11.278807,1
10.102557,1
9.994576,0
11.520026,3
10.114481,0
10.943716,1
13.395152,229
10.714469,0
10.296898,0
12.5604725,29
10.988624,3
9.91433,0
13.363053,235
11.521534,2
10.171479,1
10.216302,0
13.071161,117
10.100133,0
10.569903,1
10.621582,1
10.427767,1
10.861381,1
10.665872,0
12.08283,22
12.341996,17
10.197133,0
10.001279,0
10.02852,1
9.942817,0
12.171762,16
9.969454,0
9.979817,0
12.104962,17
10.148006,1
10.0931835,0
11.457049,3
9.928082,0
10.4683895,0
11.003118,1
9.929118,0
11.413246,2
10.218147,2
10.117773,3
12.646901,42
10.415638,1
10.055376,0
11.340881,2
10.13986,0
10.001541,1
10.384747,0
12.361016,31
10.360273,1
10.390805,0
12.096608,13
12.0109005,12
10.039466,1
10.0949745,0
10.355262,0
11.500473,3
10.355525,0
10.12339,0
10.842378,2
10.348906,1
9.910752,0
13.6271715,408
10.01609,1
10.041182,0
12.975261,87
10.338512,0
11.353245,1
10.411548,1
11.017418,1
10.088012,0
10.125118,0
10.128276,0
10.291593,0
11.24307,1
9.950933,0
11.064934,3
10.006781,0
11.284302,2
10.866438,2
10.882128,1
11.964464,2
11.001954,5
10.054633,0
10.082178,0
10.083903,0
10.687075,1
10.208919,1
9.951635,0
10.236391,0
11.871596,6
11.639677,4
10.074734,0
13.493466,275
10.827252,1
10.514178,0
10.249864,1
10.166658,1
11.637963,3
11.883448,14
10.222263,0
10.374747,0
9.952753,0
11.461672,6
10.825919,1
10.203518,0
9.902155,1
10.395211,1
10.189716,0
9.962716,0
9.963058,1
10.367445,0
12.703348,49
9.938892,0
11.032973,0
10.711455,1
10.068575,0
11.975631,9
11.780748,5
11.322253,2
12.490997,24
10.840506,0
10.706464,0
11.392602,3
10.673785,0
11.287911,3
10.780077,0
10.801074,3
11.384375,3
11.402475,3
11.464129,2
11.339083,4
10.945661,1
10.988525,2
11.052553,2
10.630591,0
10.740538,0
10.774901,1
10.994892,0
12.743214,65
12.722665,43
13.301035,174
12.422204,24
11.208975,0
11.3274765,3
11.226687,2
10.452181,0
10.765168,0
13.018709,107
12.064987,14
10.886013,0
10.803534,2
13.480874,261
11.053352,0
10.447254,0
11.566867,4
10.859453,0
10.774778,3
11.115614,4
11.948139,10
11.319982,2
11.062185,0
10.772547,0
10.898234,1
11.508309,3
10.98054,0
11.048022,2
11.177711,1
10.54935,1
10.656046,0
10.763194,0
11.083355,0
11.057683,1
10.231687,2
10.88815,1
10.040197,1
10.609197,0
13.031853,97
10.309716,0
10.786356,0
10.152127,0
10.831282,0
10.323396,1
9.917394,0
11.9010725,15
12.254267,24
11.583066,2
11.029821,0
11.881755,10
10.723998,0
11.819968,9
10.651052,0
11.0491905,1
10.712013,0
10.941281,2
13.005192,93
11.011295,0
12.143543,14
10.217658,0
9.9380665,0
10.84559,2
11.228191,2
11.512324,4
10.151639,0
9.955023,0
10.973904,0
10.205343,0
10.653133,0
10.086954,0
10.335252,1
9.986975,0
10.250837,1
10.913143,3
11.052174,2
10.697522,0
10.330177,0
10.250032,0
11.201563,4
12.923789,73
13.192862,136
10.100686,0
10.796393,0
11.75113,11
10.945455,1
12.750619,48
11.4241295,3
11.034242,2
10.922575,0
11.48452,7
11.151337,2
10.77254,1
11.444824,4
10.794489,1
11.216605,1
12.064899,14
10.785958,1
11.559776,3
11.259113,1
11.559662,5
11.015371,0
13.308154,166
11.738388,8
10.69389,0
11.050095,2
10.702474,0
12.096525,13
12.3808155,30
11.669313,7
11.701555,8
12.82975,55
11.088561,1
10.603223,1
10.7838955,0
12.002768,12
11.133121,1
12.298345,14
11.540122,0
11.164038,2
10.750099,0
11.358165,3
10.985355,0
12.018103,16
10.664138,1
12.452512,18
10.985195,0
11.7786,8
10.827914,0
10.573408,0
10.973902,0
10.836175,2
11.21908,2
11.589461,5
10.775872,1
12.088422,8
11.393866,4
11.062152,0
11.6203985,4
10.838527,1
10.997766,1
10.977406,1
10.763999,1
10.680256,0
11.342393,2
10.7597685,1
11.041686,3
10.805386,0
12.021833,10
10.791949,3
11.676373,4
11.139182,1
13.629618,391
10.928784,2
11.137831,1
12.7971525,52
10.70079,1
10.713627,0
10.694903,1
11.599193,3
12.791807,47
10.9334135,1
11.899625,8
11.612401,7
11.302137,2
11.865575,10
11.0071945,1
