kind,n_sats_halo,log_luminosity_r01
0,1,9.494159
0,1,8.0019455
0,0,8.704385
0,1,9.059918
0,0,7.448849
0,2,9.888424
0,0,7.5608997
0,2,7.56028
0,0,7.845949
0,0,7.528285
0,0,7.717491
0,1,8.132365
0,1,7.624469
0,0,7.720823
0,0,7.8546653
0,0,7.2711782
0,0,7.6935353
0,1,9.460824
0,0,7.8282495
0,0,7.4426203
0,0,7.577044
0,0,8.041853
0,0,8.677737
0,0,7.946146
0,0,8.154154
0,0,7.69395
0,0,7.7965093
0,0,9.9655905
0,0,7.818572
0,2,8.890144
0,0,8.574239
0,0,7.5356793
0,1,7.851264
0,0,7.813389
0,0,7.747551
0,2,7.5367894
0,0,9.234104
0,0,8.777114
0,1,8.0527
0,0,7.925153
0,1,8.514249
0,0,7.913245
0,2,9.61164
0,0,7.4250546
0,0,7.7037773
0,0,8.602539
0,0,7.7042093
0,0,9.036878
0,0,7.715833
0,56,10.828611
0,2,8.23576
0,2,9.658389
0,0,7.814245
0,0,7.3582397
0,0,8.6914
0,0,8.559582
0,0,7.584732
0,80,10.914274
0,0,7.717506
0,0,7.6972165
0,0,7.9255137
0,0,7.738983
0,0,8.780133
0,0,8.707515
0,2,9.3205185
0,1,9.535255
0,0,7.7802744
0,0,7.485221
0,0,8.331206
0,0,7.640295
0,0,7.6782804
0,1,7.6608763
0,0,7.83311
0,1,8.295523
0,0,8.89158
0,0,8.079572
0,3,9.7345915
0,0,9.2921295
0,12,10.439465
0,6,10.322298
0,0,8.991785
0,0,7.835302
0,0,8.191199
0,1,8.069274
0,1,8.04762
0,0,7.850383
0,0,7.8065763
0,0,8.105622
0,0,7.6560936
0,1,8.011025
0,0,7.555205
0,0,7.6562395
0,0,7.4967384
0,0,8.368629
0,0,7.7403507
0,1,9.146048
0,3,9.316272
0,0,7.4392715
0,0,8.784023
0,0,8.492142
0,0,8.34242
0,2,9.28252
0,1,8.38132
0,1,7.8702874
0,0,8.784149
0,0,9.435693
0,1,9.376535
0,1,8.844352
0,2,9.730412
0,1,7.6311703
0,0,8.165358
0,0,7.775732
0,0,8.660998
0,1,8.842
0,0,8.072694
0,0,8.062332
0,0,8.005345
0,0,7.7619605
0,0,7.6782002
0,0,7.6977663
0,0,7.745355
0,1,8.671751
0,6,10.429778
0,1,7.7071176
0,0,7.480258
0,0,7.9179764
0,0,8.105781
0,0,8.970507
0,0,8.2393465
0,0,7.8885155
0,0,7.9467587
0,0,8.055611
0,0,7.9833083
0,1,8.585429
0,0,8.425994
0,3,9.767958
0,0,7.6321435
0,2,9.145937
0,0,8.532756
0,0,8.582161
0,0,8.859924
0,0,8.5574
0,0,7.3980575
0,0,8.200445
0,0,7.8908615
0,0,7.908695
0,0,8.587168
0,1,10.090534
0,0,8.343858
0,1,8.033089
0,1,8.728869
0,2,9.518309
